doi,title,publication year,publication venue,type,issue,volume
10.4028/www.scientific.net/msf.524-525.769,Internal Stress Development during Fatigue Cycling of High-Strength Al/SiC Metal Matrix Composites,2006,Materials Science Forum,journal article,,524-525
10.1016/j.actamat.2004.05.002,Neutron diffraction measurement of the internal stresses following heat treatment of a plastically deformed Al/SiC particulate metal–matrix composite,2004,Acta Materialia,journal article,13,52
10.4028/www.scientific.net/msf.519-521.1415,Analysis of Hardness Maps on Aluminium Alloy Processed by ECAP,2006,Materials Science Forum,journal article,,519-521
10.4028/www.scientific.net/msf.527-529.111,Gas Fed Top-Seeded Solution Growth of Silicon Carbide,2006,Materials Science Forum,journal article,,527-529
10.1016/0022-0248(93)90345-w,Growth of SiC and SiC-AlN solid solution by container-free liquid phase epitaxy,1993,Journal of Crystal Growth,journal article,1-4,128
10.4028/www.scientific.net/msf.527-529.99,Characterization of Bulk <111> 3C-SiC Single Crystals Grown on 4H-SiC by the CF-PVT Method,2006,Materials Science Forum,journal article,,527-529
10.4028/www.scientific.net/msf.527-529.287,Single-Domain 3C-SiC Epitaxially Grown on 6H-SiC by the VLS Mechanism,2006,Materials Science Forum,journal article,,527-529
10.4028/www.scientific.net/msf.433-436.551,Traps at the Interface of 3C-SiC/SiO<sub>2</sub>-MOS-Structures,2003,Materials Science Forum,journal article,,433-436
10.1557/proc-640-h3.2,Traps at the SiC/SiO2-Interface,2000,MRS Proceedings,journal article,,640
10.4028/www.scientific.net/msf.353-356.627,Interface States of SiO<sub>2</sub>/SiC on (11-20) and (0001) Si Faces,2001,Materials Science Forum,journal article,,353-356
10.4028/www.scientific.net/msf.530-531.425,Design of the Particle Size Composition of an Alumina Powder Matrix for Maximum Flowability and Minimum Water Content,2006,Materials Science Forum,journal article,,530-531
10.4028/www.scientific.net/msf.530-531.550,Effect of Thermal Treatment under Oxygen Atmosphere on the Superconducting Properties of RuSr<sub>2</sub>GdCu<sub>2</sub>O<sub>8</sub>,2006,Materials Science Forum,journal article,,530-531
10.1016/0921-4534(95)00574-9,"Ruthenium-based layered cuprates RuSr2LnCu2O8 and RuSr2(Ln1+xCe1−x)Cu2O10 (LnSm, Eu and Gd)",1995,Physica C: Superconductivity,journal article,1-2,254
10.4028/www.scientific.net/msf.530-531.557,Anelastic Behavior due to Interstitial Oxygen in SmBa<sub>2</sub>Cu<sub>3</sub>O<sub>7-δ</sub>,2006,Materials Science Forum,journal article,,530-531
10.1007/bf01303701,Possible highT c superconductivity in the Ba?La?Cu?O system,1986,Zeitschrift f�r Physik B Condensed Matter,journal article,2,64
10.1063/1.2915921,Superconducting materials,1984,Physics Today,journal article,10,37
10.1103/physrevlett.43.1892,Superconductivity in the Presence of Strong Pauli Paramagnetism: CeCu2Si2,1979,Physical Review Letters,journal article,25,43
10.1103/physrevlett.1.449,Ferromagnetic Superconductors,1958,Physical Review Letters,journal article,12,1
10.1103/physrevlett.1.92,Spin Exchange in Superconductors,1958,Physical Review Letters,journal article,3,1
10.1103/physrev.81.440,Interaction Between thedShells in the Transition Metals,1951,Physical Review,journal article,3,81
10.1103/physrev.34.1293,The Theory of Complex Spectra,1929,Physical Review,journal article,10,34
10.1007/978-3-7091-5695-7,Linienspektren und Periodisches System der Elemente,1927,,book,,
10.4028/www.scientific.net/msf.527-529.1055,Determination of the Temperature and Field Dependence of the Interface Conductivity Mobility in 4H-SiC/SiO<sub>2</sub>,2006,Materials Science Forum,journal article,,527-529
10.1007/978-3-662-04459-9,Semiconductor Surfaces and Interfaces,2001,,book,,
10.4028/www.scientific.net/msf.527-529.815,Current Analysis of Ion Implanted p<sup>+</sup>/n 4H-SiC Junctions: Post-Implantation Annealing in Ar Ambient,2006,Materials Science Forum,journal article,,527-529
10.1088/0268-1242/15/9/306,`Classical' current-voltage characteristics of 4H-SiC p+-n junction diodes,2000,Semiconductor Science and Technology,journal article,9,15
10.1109/16.796295,Steady-state and transient forward current-voltage characteristics of 4H-silicon carbide 5.5 kV diodes at high and superhigh current densities,1999,IEEE Transactions on Electron Devices,journal article,11,46
10.4028/www.scientific.net/msf.527-529.811,Correlation between Current Transport and Defects in n<sup>+</sup>/p 6H-SiC Diodes,2006,Materials Science Forum,journal article,,527-529
10.4028/www.scientific.net/msf.527-529.819,Ion Implanted p<sup>+</sup>/n Diodes: Post-Implantation Annealing in a Silane Ambient in a Cold-Wall Low-Pressure CVD Reactor,2006,Materials Science Forum,journal article,,527-529
10.4028/www.scientific.net/msf.527-529.839,Post-Implantation Annealing in a Silane Ambient Using Hot-Wall CVD,2006,Materials Science Forum,journal article,,527-529
10.4028/www.scientific.net/msf.527-529.979,Interfacial Properties of SiO<sub>2</sub> Grown on 4H-SiC: Comparison between N<sub>2</sub>O and Wet O<sub>2</sub> Oxidation Ambient,2006,Materials Science Forum,journal article,,527-529
10.1109/55.843156,Improved performance and reliability of N2O-grown oxynitride on 6H-SiC,2000,IEEE Electron Device Letters,journal article,6,21
10.4028/www.scientific.net/msf.527-529.1007,On Separating Oxide Charges and Interface Charges in 4H-SiC Metal-Oxide-Semiconductor Devices,2006,Materials Science Forum,journal article,,527-529
10.1063/1.123597,Interfacial differences between SiO2 grown on 6H-SiC and on Si(100),1999,Applied Physics Letters,journal article,10,74
10.1557/s0883769400033807,Model Systems for Metal-Ceramic Interface Studies,1997,MRS Bulletin,journal article,8,22
10.1051/jcp/1987840167,Etude de l’interface Pd/Al2O3 application aux phénomènes de mouillage et d’adhésion,1987,Journal de Chimie Physique,journal article,,84
10.4028/www.scientific.net/msf.527-529.1317,Bias Stress-Induced Threshold-Voltage Instability of SiC MOSFETs,2006,Materials Science Forum,journal article,,527-529
10.1109/55.915604,Improved inversion channel mobility for 4H-SiC MOSFETs following high temperature anneals in nitric oxide,2001,IEEE Electron Device Letters,journal article,4,22
10.4028/www.scientific.net/msf.527-529.1321,Using a First Principles Coulomb Scattering Mobility Model for 4H-SiC MOSFET Device Simulation,2006,Materials Science Forum,journal article,,527-529
10.1063/1.126311,Interface trap profile near the band edges at the 4H-SiC/SiO2 interface,2000,Applied Physics Letters,journal article,16,76
10.1109/16.748873,Detailed investigation of n-channel enhancement 6H-SiC MOSFETs,1999,IEEE Transactions on Electron Devices,journal article,3,46
10.4028/www.scientific.net/msf.527-529.1469,Minimum Ionizing Particle Detector Based on p<sup>+</sup>n Junction SiC Diode,2006,Materials Science Forum,journal article,,527-529
10.1109/23.682444,Development of a silicon carbide radiation detector,1998,IEEE Transactions on Nuclear Science,journal article,3,45
10.4028/www.scientific.net/msf.532-533.37,"Microstructure and Mechanical Properties of Nano-Scale Al<sub>2</sub>O<sub>3</sub> Toughened Ti (C,N) Matrix Cermet Tool Materials",2006,Materials Science Forum,journal article,,532-533
10.1016/s0955-2219(96)00224-5,Synthesis and properties of ceramic nanoparticles and nanocomposites,1997,Journal of the European Ceramic Society,journal article,11,17
10.4028/www.scientific.net/msf.532-533.245,Study on the Multi-Phase and Multi-Scale Nanocomposite Ceramic Tool Material,2006,Materials Science Forum,journal article,,532-533
10.1016/s0955-2219(96)00222-1,Structural ceramic nanocomposites,1997,Journal of the European Ceramic Society,journal article,9,17
10.4028/www.scientific.net/msf.532-533.281,Effect of TiN and Al<sub>2</sub>O<sub>3</sub> on the Low Temperature Degradation of 3Y-TZP,2006,Materials Science Forum,journal article,,532-533
10.1111/j.1151-2916.1987.tb05701.x,Low-Temperature Aging of t-ZrO2 Polycrystals with 3 mol% Y2O3,1987,Journal of the American Ceramic Society,journal article,8,70
10.1007/bf00809059,Transformation toughening,1982,Journal of Materials Science,journal article,1,17
10.1007/bf00809057,Transformation toughening,1982,Journal of Materials Science,journal article,1,17
10.1038/258703a0,Ceramic steel?,1975,Nature,journal article,5537,258
10.1111/j.1151-2916.1972.tb11241.x,Structure and Thermomechanical Properties of Partially Stabilized Zirconia in the CaO-ZrO2 System,1972,Journal of the American Ceramic Society,journal article,3,55
10.1111/j.1151-2916.1947.tb18886.x,DEVELOPMENT OF ZIRCONIA RESISTANT TO THERMAL SHOCK,1947,Journal of the American Ceramic Society,journal article,6,30
10.1111/j.1151-2916.1942.tb14362.x,ZIRCONIUM OXIDE AND THORIUM OXIDE IN CERAMICS*,1942,Journal of the American Ceramic Society,journal article,5,25
10.1111/j.1151-2916.1940.tb14192.x,SOLUBILITY OF A ZIRCONIUM OXIDE OPACIFIER IN ENAMEL GLASSES*,1940,Journal of the American Ceramic Society,journal article,10,23
10.1111/j.1151-2916.1934.tb19324.x,"THE EFFECT OF ZIRCONIUM OXIDE IN GLASSES, GLAZES, AND ENAMELS",1934,Journal of the American Ceramic Society,journal article,1-12,17
10.1111/j.1151-2916.1933.tb16987.x,X-RAY INVESTIGATION OF THE OPACIFYING COMPOUNDS PRESENT IN SHEET-IRON COVER ENAMELS*,1933,Journal of the American Ceramic Society,journal article,7,16
10.1002/ange.19270404920,Umschau,1927,Zeitschrift für Angewandte Chemie,journal article,49,40
10.4028/www.scientific.net/msf.532-533.833,Simulation of Gas-Solid-Liquid Three-Phase Flow Inside and Outside the Abrasive Water Jet Nozzle,2006,Materials Science Forum,journal article,,532-533
10.1016/s0924-0136(01)00687-2,Dynamic elastic–plastic analysis of 3D deformation in abrasive waterjet machining,2001,Journal of Materials Processing Technology,journal article,1-3,113
10.4028/www.scientific.net/msf.537-538.55,Developing Mechanical Properties and Electrical Conductivity of Cu Alloys by Jominy End-Quench Test,2007,Materials Science Forum,journal article,,537-538
10.1016/j.jmatprotec.2004.04.226,Effect of precipitation during quenching on the mechanical properties of the aluminium alloy 7010 in the W-temper,2004,Journal of Materials Processing Technology,journal article,,153-154
10.4028/www.scientific.net/msf.537-538.185,Crystallization of Fe-Ni Based Amorphous Alloy,2007,Materials Science Forum,journal article,,537-538
10.1016/s1369-7021(04)00124-5,The case for bulk metallic glass,2004,Materials Today,journal article,3,7
10.4028/www.scientific.net/msf.539-543.487,Structure and Properties of AlMg3 Alloy with Sc and Zr,2007,Materials Science Forum,journal article,,539-543
10.4028/www.scientific.net/msf.217-222.1847,Alloying Components Optimization of Weldable Al-Li-Mg Alloy,1996,Materials Science Forum,journal article,,217-222
10.4028/www.scientific.net/msf.546-549.69,Effect of Heat Treatment on the Microstructure and Creep Behavior of Mg-Sn-Ca Alloys,2007,Materials Science Forum,journal article,,546-549
10.1002/adem.200600014,Microstructural Investigations of the Mg-Sn-xCa System,2006,Advanced Engineering Materials,journal article,5,8
10.1002/3527603565.ch5,Die Casting for High Performance - Focus on Alloy Development,2005,Magnesium,book chapter,,
10.4028/www.scientific.net/msf.539-543.4119,Evaluation of Physical Parameters in Modelling Softening-Precipitation Interaction in Hot Worked Nb Microalloyed Austenite,2007,Materials Science Forum,journal article,,539-543
10.1179/mst.1987.3.3.197,"Effect of composition and process variables on Nb(C, N) precipitation in niobium microalloyed austenite",1987,Materials Science and Technology,journal article,3,3
10.2320/jinstmet1952.35.7_698,"The Effects of Mn, Si, Cr and Ni on the Reaction of Solution and Precipitation of Niobium Nitride in Iron Austenite",1971,Journal of the Japan Institute of Metals - Journal of the Japan Institute of Metals and Materials,journal article,7,35
10.4028/www.scientific.net/msf.550.565,A Model for Multi Peak Dynamic Recrystallization in Copper,2007,Materials Science Forum,journal article,,550
10.1016/0001-6160(69)90049-2,Dynamic recrystallization in nickel and nickel-iron alloys during high temperature deformation,1969,Acta Metallurgica,journal article,8,17
10.4028/www.scientific.net/msf.556-557.53,4H-SiC Epitaxial Layers Grown on On-Axis Si-Face Substrate,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.457-460.981,Challenges and First Results of SiC Schottky Diode Manufacturing using a 3-Inch Technology,2004,Materials Science Forum,journal article,,457-460
10.4028/www.scientific.net/msf.556-557.47,Thick Epilayer for Power Devices,2007,Materials Science Forum,journal article,,556-557
10.1002/cvde.200606470,Thick Silicon Carbide Homoepitaxial Layers Grown by CVD Techniques,2006,Chemical Vapor Deposition,journal article,8-9,12
10.1109/55.735755,High-voltage accumulation-layer UMOSFET's in 4H-SiC,1998,IEEE Electron Device Letters,journal article,12,19
10.4028/www.scientific.net/msf.556-557.105,High SiC Growth Rate Obtained by Vapour-Liquid-Solid Mechanism,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.556-557.97,Growth and Photoluminescence Study of Aluminium Doped SiC Epitaxial Layers,2007,Materials Science Forum,journal article,,556-557
10.1238/physica.regular.072a00254,Determination of Nitrogen Doping Concentration in Doped 4H-SiC Epilayers by Low Temperature Photoluminescence,2005,Physica Scripta,journal article,2-3,72
10.1063/1.113205,High quality 4H‐SiC epitaxial layers grown by chemical vapor deposition,1995,Applied Physics Letters,journal article,11,66
10.4028/www.scientific.net/msf.556-557.187,How to Grow 3C-SiC Single Domain on α-SiC(0001) by Vapor-Liquid-Solid Mechanism,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.556-557.199,Mechanism of Orientation Selection for the Growth Of (111) Twin Boundary Free 3C-SiC Single Crystals on Hexagonal Basis,2007,Materials Science Forum,journal article,,556-557
10.1021/cg050009i,Control of the Supersaturation in the CF−PVT Process for the Growth of Silicon Carbide Crystals: Research and Applications,2005,Crystal Growth & Design,journal article,4,5
10.4028/www.scientific.net/msf.556-557.651,Fabrication of MOS Capacitors by Wet Oxidation of p-Type 4H-SiC Preamorphized by Nitrogen Ion Implantation,2007,Materials Science Forum,journal article,,556-557
10.1063/1.120521,H-complexed oxygen vacancy in SiO2: Energy level of a negatively charged state,1997,Applied Physics Letters,journal article,26,71
10.1109/16.210209,Correlation of stress-induced leakage current in thin oxides with trap generation inside the oxides,1993,IEEE Transactions on Electron Devices,journal article,5,40
10.4028/www.scientific.net/msf.556-557.721,Low Specific Contact Resistance to 3C-SiC Grown on (100) Si Substrates,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.338-342.241,Growth of CVD Thin Films and Thick LPE 3C SiC in a Specially Designed Reactor,2000,Materials Science Forum,journal article,,338-342
10.4028/www.scientific.net/msf.556-557.811,Investigation of Drain Current Saturation in 4H-SiC MOSFETs,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.556-557.561,Post-Implantation Annealing of SiC: Relevance of the Heating Rate,2007,Materials Science Forum,journal article,,556-557
10.1063/1.2196233,Effects of heating ramp rates on the characteristics of Al implanted 4H–SiC junctions,2006,Applied Physics Letters,journal article,16,88
10.1063/1.370799,Ion-implantation in bulk semi-insulating 4H–SiC,1999,Journal of Applied Physics,journal article,2,86
10.1557/proc-423-9,SiC Power Devices,1996,MRS Proceedings,journal article,,423
10.1109/5.301680,Power semiconductor devices for variable-frequency drives,1994,Proceedings of the IEEE,journal article,8,82
10.4028/www.scientific.net/msf.556-557.571,Analysis of the Electrical Activation of P<sup>+</sup> Implanted Layers as a Function of the Heating Rate of the Annealing Process,2007,Materials Science Forum,journal article,,556-557
10.4028/www.scientific.net/msf.338-342.703,Ionization Energies and Electron Mobilities in Phosphorus- and Nitrogen-Implanted 4H-Silicon Carbide,2000,Materials Science Forum,journal article,,338-342
10.4028/www.scientific.net/msf.556-557.639,Characterization of MOS Capacitors Fabricated on n-type 4H-SiC Implanted with Nitrogen at High Dose,2007,Materials Science Forum,journal article,,556-557
10.1109/16.992876,Status and prospects for SiC power MOSFETs,2002,IEEE Transactions on Electron Devices,journal article,4,49
10.4028/www.scientific.net/msf.556-557.917,Effects of Very High Neutron Fluence Irradiation on p<sup>+</sup>n Junction 4H-SiC Diodes,2007,Materials Science Forum,journal article,,556-557
10.1109/tns.2004.825095,Minimum Ionizing and Alpha Particles Detectors Based on Epitaxial Semiconductor Silicon Carbide,2004,IEEE Transactions on Nuclear Science,journal article,1,51
10.4028/www.scientific.net/msf.558-559.511,Effects of Precipitation during Dynamic Recrystallization of Copper with Different Oxygen Levels,2007,Materials Science Forum,journal article,,558-559
10.1007/bf02648354,Embrittlement of copper due to segregation of oxygen to grain boundaries,1981,Metallurgical Transactions A,journal article,5,12
10.1007/bf02644061,Slow strain-rate embrittlement of niobium by Oxygen,1976,Metallurgical Transactions A,journal article,7,7
10.1002/pssb.19660130218,Ordering of Interstitial Impurities in Niobium,1966,physica status solidi (b),journal article,2,13
10.1063/1.1723573,DOMAIN PATTERNS IN COLUMBIUM (NIOBIUM),1964,Applied Physics Letters,journal article,1,4
10.4028/www.scientific.net/msf.558-559.505,Microstructure Evolution during Warm Deformation of Low Carbon Steel with Dispersed Cementite,2007,Materials Science Forum,journal article,,558-559
10.4028/www.scientific.net/msf.567-568.221,Transverse Cracking of Layered Structures: Evaluation of Fatigue Crack Propagation,2007,Materials Science Forum,journal article,,567-568
10.1007/bf00034638,Finite element analysis of stress intensity factors for cracks at a bi-material interface,1976,International Journal of Fracture,journal article,4,12
10.1115/1.3408975,On the Plane Elastostatic Problem of a Loaded Crack Terminating at a Material Interface,1971,Journal of Applied Mechanics,journal article,4,38
10.4028/www.scientific.net/msf.567-568.225,Estimation of the Crack Propagation Direction of a Crack Touching the Interface between Two Elastic Materials,2007,Materials Science Forum,journal article,,567-568
10.1007/bf00039848,Analysis of cracks perpendicular to bimaterial interfaces using a novel finite element,1995,International Journal of Fracture,journal article,1,73
10.1016/0013-7944(90)90343-f,An overview of interface cracks,1990,Engineering Fracture Mechanics,journal article,1,37
10.4028/www.scientific.net/msf.567-568.357,Effect of Sc and Zr Additions on Microstructure and Mechanical Properties of Conventional Cast and P/M Aluminium,2007,Materials Science Forum,journal article,,567-568
10.1179/174328005x14311,Scandium in aluminium alloys,2005,International Materials Reviews,journal article,1,50
10.1007/bf02881486,The Al−Sc (Aluminum-Scandium) system,1981,Bulletin of Alloy Phase Diagrams,journal article,2,2
10.1107/s0365110x65003134,"AB compounds with Sc, Y and rare earth metals. I. Scandium and yttrium compounds with CrB and CsCl structure",1965,Acta Crystallographica,journal article,2,19
10.4028/www.scientific.net/msf.561-565.2385,Intergranular Corrosion of Ultrafine Grain Copper Fabricated by ECAP,2007,Materials Science Forum,journal article,,561-565
10.4028/www.scientific.net/msf.615-617.769,Improvements in SiC MOS Processing as Revealed by Studies of Fixed and Oxide Trap Charge,2009,Materials Science Forum,journal article,,615-617
10.1063/1.2335673,A quasi-two-dimensional depth-dependent mobility model suitable for device simulation for Coulombic scattering due to interface trapped charges,2006,Journal of Applied Physics,journal article,4,100
10.1063/1.1326046,Hall mobility and free electron density at the SiC/SiO2 interface in 4H–SiC,2000,Applied Physics Letters,journal article,20,77
10.4028/www.scientific.net/msf.338-342.1109,"MOSFET Performance of 4H-, 6H-, and 15R-SiC Processed by Dry and Wet Oxidation",2000,Materials Science Forum,journal article,,338-342
10.1155/2009/527452,The Estimation of Product Standard Time by Artificial Neural Networks in the Molding Industry,2009,Mathematical Problems in Engineering,journal article,,2009
10.1080/002075400189617,Prediction of die casting process parameters by using an artificial neural network model for zinc alloys,2000,International Journal of Production Research,journal article,1,38
10.4028/www.scientific.net/kem.230-232.88,Thermal Behaviour of Aluminium Titanate Combustion Powders with MgO Additions,2002,Key Engineering Materials,journal article,,230-232
10.1111/j.1151-2916.1978.tb16121.x,Grain Size/Microcracking Relations for Pseudobrookite Oxides,1978,Journal of the American Ceramic Society,journal article,11-12,61
10.1111/j.1151-2916.1959.tb13597.x,"High-Temperature Mechanical Properties of Ceramic Materials: II, Beta-Eucryptite",1959,Journal of the American Ceramic Society,journal article,8,42
10.1111/j.1151-2916.1959.tb12942.x,Thermal Contraction of beta-Eucryptite-. (Li2O.Al2O3.2SiO2) by X-Ray and Dilatometer Methods,1959,Journal of the American Ceramic Society,journal article,4,42
10.1111/j.1151-2916.1951.tb11646.x,Thermal Expansion Properties of Some Synthetic Lithia Minerals,1951,Journal of the American Ceramic Society,journal article,8,34
10.1063/1.1746464,Physical Properties and Cation Arrangement of Oxides with Spinel Structures I. Cation Arrangement in Spinels,1947,The Journal of Chemical Physics,journal article,4,15
10.1002/andp.19213690304,Die Berechnung optischer und elektrostatischer Gitterpotentiale,1921,Annalen der Physik,journal article,3,369
10.1002/andp.19203671103,Zur Gittertheorie der Zinkblende,1920,Annalen der Physik,journal article,11,367
10.1002/andp.19203660107,Über die elektrische Natur der Kohäsionskräfte fester Körper,1920,Annalen der Physik,journal article,1,366
10.1002/andp.19163540302,Über Molekülbildung als Frage des Atombaus,1916,Annalen der Physik,journal article,3,354
10.1080/14786441308634993,XXXVII. On the constitution of atoms and molecules,1913,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",journal article,153,26
10.1080/14786441308634955,I. On the constitution of atoms and molecules,1913,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",journal article,151,26
10.1080/14786440508637080,LXXIX. The scattering of α and β particles by matter and the structure of the atom,1911,"The London, Edinburgh, and Dublin Philosophical Magazine and Journal of Science",journal article,125,21
10.1098/rspa.1909.0054,On a Diffuse Reflection of the Formula-Particles,1909,"Proceedings of the Royal Society A: Mathematical, Physical and Engineering Sciences",journal article,557,82
10.4028/www.scientific.net/kem.238-239.117,The Effects of the Jet Impact Angle on the Cutting Performance in AWJ Machining of Alumina Ceramics,2003,Key Engineering Materials,journal article,,238-239
10.4028/www.scientific.net/kem.230-232.267,Deformation Asymmetry of AZ31 Wrought Magnesium Alloy,2002,Key Engineering Materials,journal article,,230-232
10.4028/www.scientific.net/kem.240-242.85,Biomimetic Crystallization of Calcium Phosphates under Constant Conditions from the Revised SBF,2003,Key Engineering Materials,journal article,,240-242
10.1002/jbm.820240607,Solutions able to reproducein vivo surface-structure changes in bioactive glass-ceramic A-W3,1990,Journal of Biomedical Materials Research,journal article,6,24
10.4028/www.scientific.net/kem.240-242.529,Crystallization of a Bone-Like Apatite onto Cholesterol from Aqueous Solutions,2003,Key Engineering Materials,journal article,,240-242
10.1007/s003920170046,Physicochemical principles of cardiovascular calcification,2001,Zeitschrift f�r Kardiologie,journal article,0,90
10.4028/www.scientific.net/kem.254-256.55,Assessment of Cancellous Bone Architecture after Implantation of an Injectable Bone Substitute,2003,Key Engineering Materials,journal article,,254-256
10.1023/a:1022842404495,,2003,Journal of Materials Science: Materials in Medicine,journal article,3,14
10.4028/www.scientific.net/kem.254-256.193,Maxillary Sinus Bone Grafting with an Injectable Bone Substitute: a Sheep Study,2003,Key Engineering Materials,journal article,,254-256
10.1016/s0142-9612(98)00061-1,"Biphasic calcium phosphate concept applied to artificial bone, implant coating and injectable bone substitute",1998,Biomaterials,journal article,16,19
10.4028/www.scientific.net/kem.257-258.521,Techniques for Enhancing the Cutting Performance of Abrasive Waterjets,2004,Key Engineering Materials,journal article,,257-258
10.4028/www.scientific.net/kem.254-256.327,The Influence of Glucose and Bovine Serum Albumin on the Crystallization of a Bone-Like Apatite from Revised Simulated Body Fluid,2003,Key Engineering Materials,journal article,,254-256
10.4028/www.scientific.net/kem.254-256.895,Modulating the Nanotopography of Apatites,2003,Key Engineering Materials,journal article,,254-256
10.2106/00004623-199173050-00007,The morphogenesis of bone in replicas of porous hydroxyapatite obtained from conversion of calcium carbonate exoskeletons of coral.,1991,The Journal of Bone & Joint Surgery,journal article,5,73
10.4028/www.scientific.net/kem.261-263.1529,"Theoretical, Numerical and Experimental Study of Deformation and Failure Process of Rock",2004,Key Engineering Materials,journal article,,261-263
10.1016/s0148-9062(96)00039-3,Numerical simulation of progressive rock failure and associated seismicity,1997,International Journal of Rock Mechanics and Mining Sciences,journal article,2,34
10.4028/www.scientific.net/kem.274-276.679,Finite Element Simulation of Martensitic Transformation in Single-Crystal TRIP Steel Based on Crystal Plasticity Theory with Cellular Automata Approach,2004,Key Engineering Materials,journal article,,274-276
10.1115/1.3167205,Crystal Plasticity,1983,Journal of Applied Mechanics,journal article,4b,50
10.4028/www.scientific.net/kem.270-273.1631,Observation of Internal Cracking in Concrete by Virtual Reality Modeling of Acoustic Emission Moment Tensor Analysis,2004,Key Engineering Materials,journal article,,270-273
10.1016/s0950-0618(00)00079-9,Acoustic emission moment tensor analysis: development for crack identification in concrete materials,2001,Construction and Building Materials,journal article,5-6,15
10.4028/www.scientific.net/kem.264-268.1581,Moisture Expansion: Activation Energy versus Firing Temperature,2004,Key Engineering Materials,journal article,,264-268
10.4028/www.scientific.net/msf.34-36.997,The Design of an Accelerated Test Method to Estimate Irreversible Expansion,1991,Materials Science Forum,journal article,,34-36
10.4028/www.scientific.net/kem.284-286.3,Formation and Evolution of Hydrated Surface Layers of Apatites,2005,Key Engineering Materials,journal article,,284-286
10.4028/www.scientific.net/kem.254-256.927,Specific Characteristics of Wet Nanocrystalline Apatites. Consequences on Biomaterials and Bone Tissue,2003,Key Engineering Materials,journal article,,254-256
10.1021/cm00034a009,Octacalcium phosphate. 3. Infrared and Raman vibrational spectra,1993,Chemistry of Materials,journal article,10,5
10.4028/www.scientific.net/kem.264-268.1743,Refractory Formulations Made of Different Wastes and Natural Sub-Products,2004,Key Engineering Materials,journal article,,264-268
10.4028/www.scientific.net/kem.284-286.129,Improvement of Porosity of a Calcium Phosphate Cement by Incorporation of Biodegradable Polymer Microspheres,2005,Key Engineering Materials,journal article,,284-286
10.1126/science.7892603,Skeletal repair by in situ formation of the mineral phase of bone,1995,Science,journal article,5205,267
10.4028/www.scientific.net/kem.284-286.285,Bone Marrow Autograft Associated to Macroporous Biphasic Calcium Phosphate for Bone Substitution in an Animal Model of Sequels of Radiotherapy,2005,Key Engineering Materials,journal article,,284-286
10.1177/000348949210100808,Macroporous Biphasic Calcium Phosphate Efficiency in Mastoid Cavity Obliteration: Experimental and Clinical Findings,1992,"Annals of Otology, Rhinology & Laryngology",journal article,8,101
10.1007/978-94-009-6756-4_30,Further Observations on Application of “Plasticin” in Ear Surgery,1984,Biomaterials in Otology,book chapter,,
10.1007/978-3-662-28818-4,Einführung in die Mineralogie,1949,,book,,
10.4028/www.scientific.net/kem.284-286.399,A Novel Drug Delivery System for Bisphosphonates: Innovative Strategy for Local Treatment of Bone Resorption,2005,Key Engineering Materials,journal article,,284-286
10.1136/dtb.2001.39968,Bisphosphonates for osteoporosis,2001,Drug and Therapeutics Bulletin,journal article,9,39
10.4028/www.scientific.net/kem.280-283.1549,Mechanical Properties of Macroporous Biphasic Calcium Phosphate Bioceramics Fabricated Using a Porogen,2007,Key Engineering Materials,journal article,,280-283
10.1016/s0142-9612(97)00180-4,Macroporous biphasic calcium phosphate ceramics: influence of macropore diameter and macroporosity percentage on bone ingrowth,1998,Biomaterials,journal article,1-3,19
10.4028/www.scientific.net/kem.291-292.459,Mathematical Models for the Hydrodynamic Characteristics of Abrasive Waterjets,2005,Key Engineering Materials,journal article,,291-292
10.1016/0043-1648(95)06721-3,An erosion model of polycrystalline ceramics in abrasive waterjet cutting,1996,Wear,journal article,2,193
10.4028/www.scientific.net/kem.291-292.453,Enhancing the AWJ Cutting Performance by Multipass Machining with Controlled Nozzle Oscillation,2005,Key Engineering Materials,journal article,,291-292
10.1081/mst-120022777,An Experimental Study to Enhance the Cutting Performance in Abrasive Waterjet Machining,2003,Machining Science and Technology,journal article,2,7
10.1016/s0007-8506(07)62248-3,Computer-Aided Constrained Optimization Analyses and Strategies for Multipass Helical Tooth Milling Operations,1994,CIRP Annals,journal article,1,43
10.4028/www.scientific.net/kem.301.75,Effect of Al-Doping into Zinc Oxide Films Prepared by Pulsed Laser Deposition Method with Various Oxidation Assists,2006,Key Engineering Materials,journal article,,301
10.1557/mrs2000.149,New n-Type Transparent Conducting Oxides,2000,MRS Bulletin,journal article,8,25
10.1016/s0257-8972(98)00592-1,Work function of transparent conducting multicomponent oxide thin films prepared by magnetron sputtering,1998,Surface and Coatings Technology,journal article,,108-109
10.4028/www.scientific.net/kem.301.79,Interfacial Structure of GaN and InN Thin Films Grown on ZnO Substrates,2006,Key Engineering Materials,journal article,,301
